timestamp,Prod. 2,Prod. 1,Spann.1,KH-DigiI,CosPh,Status,KH-Ana-1,BtrStd 2,Rotor,Strom-.1,KH-Ana-4,KH-Ana-2,KH-DigiE,Strom-,Außen,Lager,Wind,BtrStd 1,Abgabe,Bezug,KH-Ana-3,Gen1-,Strom-.2,KH-Zähl1,_id,KH-Zähl2,GetrT,Azimut,Spann,Spann.2,Leistung
2016-01-01T11:40:00.000Z,5743510,31535229,397.5,0,0.004,94,0,46013,0.2,30.9,0,0,0,29.8,9,44.9,2.7,48377,0,0,0,10,29.9,0,68823148a85e68182405850c,0,42,48.4,396.5,395,0.1
2016-01-01T11:50:00.000Z,5743510,31535229,397.3,0,0,94,0,46013,0,30.2,0,0,0,30.6,9.9,43,2.5,48377,0,0,0,10,29.7,0,68823148a85e68182405850d,0,42,214.1,396.5,395,0
2016-01-09T04:20:00.000Z,5752258,31639691,400.1,0,0.207,78,0,46055,6.5,97.7,0,0,0,94.2,5,49.8,5.6,48507,1590,71,0,11,95.3,0,68823148a85e681824058960,0,44.4,168.5,399.9,398,64.1
2016-01-10T04:20:00.000Z,5753194,31647891,401.5,0,0.253,78,0,46060,6.1,234.5,0,0,0,232.2,5,59,8.5,48525,1590,71,0,25.5,233.9,0,68823148a85e6818240589f0,0,47.6,124.6,400.3,399.5,240.9
2016-01-15T04:00:00.000Z,5761674,31679764,400.6,0,0.705,78,0,46109,7.4,119.9,0,0,0,118.6,4,54.7,4.6,48595,1590,71,0,13.5,120.6,0,68823148a85e681824058cbe,0,44.3,104.5,400,398.4,128.4
2016-01-17T04:00:00.000Z,5765321,31679836,399.5,0,0.674,78,0,46144,10.2,257.7,0,0,0,254.8,2,52.7,5.2,48595,1590,71,0,8.9,256.2,0,68823148a85e681824058dde,0,40.3,11.3,399.1,397.8,268.2
2016-01-18T04:00:00.000Z,5766987,31680027,398.8,0,0.686,78,0,46160,7.7,59.6,0,0,0,60.4,-2,50.3,3.5,48596,1590,71,0,1,61.5,0,68823148a85e681824058e6e,0,40,221.6,398,397,57.5
2016-01-20T04:00:00.000Z,5771089,31680944,399.3,0,0.749,78,0,46195,7.5,115.1,0,0,0,114.7,1.1,51.6,4.4,48599,1591,71,0,9,117.1,0,68823148a85e681824058f8e,0,43,255.2,398.7,397.5,129.8
2016-01-24T04:00:00.000Z,5776538,31691183,397.4,0,0.528,78,0,46233,14.2,187,0,0,0,179.3,8,56.6,5.1,48621,1591,71,0,21.3,180.6,0,68823148a85e6818240591ce,0,44,207.5,396.9,395.5,129.9
2016-01-25T04:00:00.000Z,5779805,31693506,399.1,0,0.614,78,0,46248,11.6,286.9,0,0,0,281.5,11,64,6.3,48629,1591,71,0,27,284.6,0,68823148a85e68182405925e,0,49,251.3,398.8,397.4,297.5
