timestamp,Rotor,_id,KH-Zähl2,GetrT,Spann,Azimut,Spann.2,Prod. 2,Leistung,Abgabe,BtrStd 1,Bezug,KH-Ana-3,Gen1-,Strom-.2,KH-Zähl1,KH-Ana-2,KH-DigiE,Außen,Strom-,Wind,Lager,KH-DigiI,Prod. 1,Spann.1,CosPh,Status,KH-Ana-1,BtrStd 2,Strom-.1,KH-Ana-4
2016-01-03T03:30:00.000Z,11.3,6882314aa85e68182405b92a,0,50,399.4,98.7,396.8,1713683,574.9,0,48956,0,0,20.2,488.4,0,0,0,-2.1,490.1,7.1,63.9,0,33289545,399.2,0.694,78,0,45182,502.1,0
2016-01-04T03:30:00.000Z,13.4,6882314aa85e68182405b9ba,0,49,405,94,404,1714149,273.2,1177,48978,21,0,13,209.8,0,0,0,-4,213.8,5.9,60.3,0,33301462,405.4,1.032,78,0,45184,220,0
2016-01-04T03:40:00.000Z,13.4,6882314aa85e68182405b9bb,0,49,405,94,404,1714149,273.2,1177,48978,21,0,13,209.8,0,0,0,-4,213.8,5.9,60.3,0,33301462,405.4,1.032,78,0,45184,220,0
2016-01-04T03:50:00.000Z,13.4,6882314aa85e68182405b9bc,0,49,405,94,404,1714149,273.2,1177,48978,21,0,13,209.8,0,0,0,-4,213.8,5.9,60.3,0,33301462,405.4,1.032,78,0,45184,220,0
2016-01-04T04:00:00.000Z,13.4,6882314aa85e68182405b9bd,0,49,405,94,404,1714149,273.2,1177,48978,21,0,13,209.8,0,0,0,-4,213.8,5.9,60.3,0,33301462,405.4,1.032,78,0,45184,220,0
2016-01-04T04:10:00.000Z,13.4,6882314aa85e68182405b9be,0,49,405,94,404,1714149,273.2,1177,48978,21,0,13,209.8,0,0,0,-4,213.8,5.9,60.3,0,33301462,405.4,1.032,78,0,45184,220,0
2016-01-04T04:20:00.000Z,13.4,6882314aa85e68182405b9bf,0,49,405,94,404,1714149,273.2,1177,48978,21,0,13,209.8,0,0,0,-4,213.8,5.9,60.3,0,33301462,405.4,1.032,78,0,45184,220,0
2016-01-04T04:30:00.000Z,13.4,6882314aa85e68182405b9c0,0,49,405,94,404,1714149,273.2,1177,48978,21,0,13,209.8,0,0,0,-4,213.8,5.9,60.3,0,33301462,405.4,1.032,78,0,45184,220,0
2016-01-08T03:30:00.000Z,10.6,6882314aa85e68182405bbfa,0,53,398.1,211.3,396.7,1723830,1099.3,1177,49027,21,0,51.3,959.8,0,0,0,6,967.2,11.2,66.6,0,33321535,398.2,0.686,78,0,45230,978.4,0
2016-01-08T10:50:00.000Z,16,6882314aa85e68182405bc26,0,61.2,405.4,234.1,403.4,1723830,2065.6,1177,49034,21,0,83.2,1741.4,0,0,0,7.5,1756.1,18,75,0,33335528,405.2,0.966,111,0,45230,1777.9,0
